document_name,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
trip,0.08333604,0.083607264,0.58304864,0.08333619,0.08333595,0.08333595
record,0.08345094,0.5824964,0.08346153,0.08341368,0.08378291,0.083394535
statist,0.08398007,0.08434171,0.0839825,0.08334198,0.08334189,0.5810119
includ,0.08435924,0.083482616,0.08432298,0.5796008,0.08408157,0.084152795
regener,0.08338978,0.08339343,0.5830428,0.083391614,0.083392166,0.08339023
charg,0.08335739,0.083359264,0.5816757,0.08335824,0.08335859,0.084890835
energi,0.08335732,0.083359174,0.58261037,0.0833583,0.08335837,0.08395646
current,0.08347364,0.083340205,0.58279943,0.083339855,0.08356081,0.08348602
avail,0.08424992,0.5791561,0.084245525,0.08455195,0.083432466,0.08436406
model,0.08333867,0.08357951,0.58237886,0.083526865,0.08353133,0.08364472
3,0.08379988,0.08363182,0.58212453,0.08354553,0.08356187,0.083336405
need,0.0836274,0.08373192,0.08417879,0.5808164,0.08379256,0.08385294
elm327,0.0833358,0.5830316,0.083566144,0.083335936,0.083335906,0.083394594
stn1110,0.083389774,0.08339344,0.58304286,0.08339164,0.08339206,0.08339021
compat,0.08407182,0.5812001,0.08362462,0.08335207,0.08353796,0.08421338
obd2,0.083335645,0.58307403,0.08358311,0.08333579,0.083335735,0.08333568
bluetooth,0.08345673,0.084612615,0.58041346,0.08356573,0.084086455,0.083865024
adapt,0.0833359,0.08387721,0.5826362,0.083336085,0.083336085,0.08347856
+,0.58293194,0.08333638,0.08341149,0.083425246,0.083336085,0.08355882
obd2-,0.08338977,0.083393365,0.5830429,0.08339167,0.083392106,0.083390206
tesla,0.08334047,0.08334111,0.5832962,0.08334082,0.08334088,0.0833405
diagnost,0.0833357,0.58291674,0.08368408,0.08333583,0.083335824,0.08339184
port,0.083348446,0.083349645,0.5828875,0.08334906,0.08334922,0.08371619
cabl,0.08334839,0.08334959,0.58325547,0.083348945,0.08334908,0.083348505
there,0.57932276,0.0849599,0.08422428,0.08334765,0.083347544,0.0847979
least,0.08335723,0.08335889,0.5832102,0.08335807,0.08335819,0.083357446
2,0.08421038,0.08354994,0.5815681,0.08368289,0.08349639,0.083492264
differ,0.08385226,0.083338805,0.083831415,0.08347397,0.08375697,0.5817466
plug,0.08335727,0.08335927,0.5832096,0.083358146,0.08335829,0.08335749
depend,0.08336246,0.5818014,0.084028505,0.08336307,0.083363235,0.0840813
model,0.08333867,0.08357626,0.5823894,0.08352547,0.083530515,0.083639644
year,0.08335559,0.0833571,0.08386528,0.0833564,0.08335647,0.5827092
obdlink,0.08338974,0.083393216,0.58304316,0.08339165,0.083392054,0.08339018
MX,0.08338969,0.08339317,0.58304346,0.08339153,0.08339201,0.08339014
bluetooth,0.083456926,0.084670104,0.5803526,0.083566114,0.084088124,0.08386609
high,0.08366366,0.083350085,0.58237565,0.08334906,0.08391272,0.08334888
qualiti,0.0841767,0.08335081,0.08395685,0.08393981,0.5804816,0.08409423
stn1100,0.083389714,0.08339323,0.5830433,0.0833916,0.083392024,0.08339016
base,0.5820172,0.0833415,0.08436355,0.08334081,0.08359621,0.083340704
adapt,0.0833359,0.08386791,0.5826456,0.083336085,0.083336085,0.08347846
support,0.084212504,0.08383193,0.08352137,0.58103263,0.0835244,0.083877206
ST,0.08338977,0.08339345,0.58304286,0.08339167,0.08339203,0.08339021
command,0.08359845,0.58171463,0.08361996,0.08437283,0.08334843,0.08334575
set,0.08404776,0.083337136,0.5808662,0.08374794,0.0839674,0.08403351
highli,0.083699584,0.08335103,0.08374867,0.58250046,0.083350316,0.08334993
reccommend,0.08338976,0.08339336,0.5830429,0.0833917,0.08339208,0.083390206
ble,0.083341025,0.5831224,0.08351292,0.08334131,0.08334131,0.08334111
bluetooth,0.083456606,0.0845765,0.5804518,0.083565466,0.08408535,0.08386432
low,0.08335728,0.08335901,0.58145684,0.08421382,0.08425479,0.083358206
energi,0.08335735,0.083359204,0.58259195,0.08335833,0.08335839,0.08397476
wifi,0.08334563,0.58175486,0.084015094,0.08412248,0.083346084,0.08341585
adapt,0.08333589,0.08388108,0.58263224,0.08333608,0.08333608,0.08347859
current,0.08347374,0.083340205,0.5827983,0.083339855,0.08356167,0.083486214
support,0.08428481,0.08383418,0.08352199,0.5809534,0.08352503,0.08388055
most,0.08338574,0.08338943,0.08469373,0.08338765,0.083387755,0.5817557
canbu,0.0833897,0.08339322,0.58304334,0.08339159,0.083392,0.083390154
packet,0.0833897,0.08339325,0.5830434,0.0833915,0.083392024,0.08339015
decod,0.08334842,0.083349645,0.5832553,0.08334899,0.083349116,0.08334852
jason,0.08338974,0.08339334,0.58304304,0.08339164,0.08339204,0.083390184
hugh,0.08338967,0.083393134,0.5830437,0.0833915,0.083391935,0.08339012
skie.net,0.083389744,0.083393425,0.583043,0.08339166,0.083392,0.08339019
batteri,0.083348446,0.083349824,0.58287054,0.0833491,0.08334919,0.08373291
cell,0.083370484,0.08337284,0.08430285,0.083380654,0.5822024,0.08337078
info,0.083866045,0.08450552,0.5800625,0.0833582,0.084264144,0.0839436
decod,0.083348416,0.08334964,0.58325535,0.08334898,0.08334911,0.08334851
jack,0.08338969,0.08339321,0.58304346,0.08339151,0.08339196,0.08339013
rickard,0.08338971,0.08339323,0.5830433,0.0833916,0.08339199,0.083390154
evtv.m,0.08338971,0.08339323,0.58304334,0.08339157,0.083392,0.083390154
dc/ac,0.083389714,0.08339325,0.5830432,0.083391614,0.08339204,0.08339017
charg,0.08335566,0.0833574,0.08464886,0.083356455,0.083356775,0.58192486
counter,0.083389685,0.08339323,0.5830434,0.08339153,0.08339202,0.08339015
public,0.08335731,0.08335925,0.58258706,0.08335828,0.0833584,0.083979666
``,0.08396754,0.08440219,0.084483005,0.58007604,0.08341361,0.0836576
DB,0.0833897,0.08339318,0.5830435,0.083391555,0.08339195,0.08339014
2,0.08424666,0.083550334,0.58153,0.08368383,0.08349667,0.08349253
'',0.08395018,0.08447505,0.08427709,0.57925564,0.08379758,0.08424443
hvac,0.08338972,0.08339323,0.58304334,0.08339161,0.08339198,0.08339016
control,0.08445544,0.08334233,0.08427925,0.08360177,0.579736,0.084585175
marc,0.08335727,0.08335897,0.5832098,0.083358176,0.08335833,0.083357446
olivi,0.083357245,0.08335889,0.58321,0.08335813,0.0833583,0.08335742
chouinard,0.08335724,0.08335887,0.58321005,0.08335813,0.083358295,0.083357416
teslalog.com,0.083357245,0.08335888,0.58321005,0.08335813,0.083358295,0.083357416
trip,0.08333603,0.08360778,0.5830481,0.08333618,0.08333594,0.08333594
record,0.08345094,0.5824967,0.08346152,0.08341368,0.08378264,0.08339453
system,0.08339887,0.08364351,0.084060706,0.08334063,0.08358681,0.58196944
idea,0.0836997,0.083350874,0.083750404,0.58249795,0.08335058,0.0833505
marc,0.08335727,0.08335897,0.5832098,0.083358176,0.08335833,0.083357446
olivi,0.08335724,0.083358884,0.58321005,0.083358124,0.083358295,0.083357416
chouinard,0.08335724,0.08335887,0.58321005,0.08335813,0.083358295,0.083357416
teslalog.com,0.083357245,0.08335888,0.58321005,0.08335813,0.083358295,0.083357416
model,0.08333867,0.08357678,0.5823877,0.083525404,0.08353062,0.08364085
